21033=Other Kitchen & Dining;hg_kitchen_dining_other
21154=Language Learning & Tutoring;language_learning_tutoring
20064=Small Appliances;hg_appliances_small_appliances
21032=Dinnerware;hg_kitchen_dining_dinnerware
21153=Scaffolding;scaffolding
22242=Tutoring;tutoring
22360=Welder & Boilermaker;welder_boilermaker
22361=Other;other_trades_services
22241=Childcare & After School Care;childcare_after_school_care
21152=Rubbish Removal & Skip Hiring;rubbish_removal_skip_hiring
21031=Cutlery;hg_kitchen_dining_cutlery
21151=Pest Control;pest_control
21030=Pots & Pans;hg_kitchen_dining_pots_pans
21150=Bricklaying;bricklaying
20060=Dishwashers;hg_appliances_dishwashers
18630=Quads, Karts & Other;other_motorcycles_scooters
21006=Office Chairs;hg_furniture_office_chairs
20037=Trailers;trailers
21005=Armchairs;hg_furniture_armchairs
21126=Other Tablets;other_tablets
20036=Other;other_real_estate_property
18511=Roomshare;roomshare
21125=Tablet Accessories;tablet_accessories
21124=Kindle & eBooks;kindle_ebooks
21002=Blenders, Juicers & Food processors;hg_appliances_blenders_juicers_foodprocessors
20034=Kitchen & Sandwich Hand;kitchen_sandwich_hand
21123=Android Tablets;android_tablets
21001=Sewing Machines;hg_appliances_sewing_machines
20033=Management;hospitality_management
21122=iPads;ipads
21000=Coffee Machines;hg_appliances_coffee_machines
21120=Wii;wii
22331=Mining - Engineering & Maintenance;mining_engineering_maintenance
22332=Mining - Operations;mining_operations
22212=Customer Service - Customer Facing;customer_service_customer_facing
22333=Oil & Gas - Engineering & Maintenance;oil_gas_engineering_maintenance
21009=Coffee Tables;hg_furniture_coffee_tables
22214=Other;other_call_centre_customer_service
22335=Other;other_mining_resources_energy
21128=Trucks;trucks
20030=Roofing;roofing
18639=Painting & Decorating;painting_decorating
18634=Air Conditioning & Heating;air_conditioning_heating
18635=Carpentry;carpentry
18637=Electrical;electrical
18641=Plumbing;plumbing
22349=Hair & Beauty Services;hair_beauty_services
18642=Other Building & Construction;other_building_construction
21016=Lounging & Relaxing Furniture;hg_garden_lounging_relaxing
21015=Dressers & Drawers;hg_furniture_dressers_drawers
18643=Removals & Storage;removals_storage
21135=Farming Equipment;farming_equipment
21014=Cabinets;hg_furniture_cabinets
18644=Alternative Therapies;alternative_therapies
21134=Farming Vehicles;farming_vehicles
21013=Bookcases & Shelves;hg_furniture_bookcases_shelves
21012=Entertainment & TV Units;hg_furniture_entertainment_tvunits
21132=Other Construction Vehicles & Equipment;other_construction_vehicles_equipment
21131=Construction Equipment;construction_equipment
18640=Plastering & Tiling;plastering_tiling
